name,cpu_milli,memory_mib,num_gpu,gpu_milli,gpu_spec,qos,pod_phase,creation_time,deletion_time,scheduled_time,source_file
openb-pod-4833,32000,49152,0,0,,BE,Running,11907942,11908127,11907946.0,openb_pod_list_gpuspec33.csv
openb-pod-4834,32000,49152,0,0,,BE,Running,11908647,11908796,11908650.0,openb_pod_list_gpuspec33.csv
openb-pod-4835,32000,49152,0,0,,BE,Running,11908647,11908827,11908651.0,openb_pod_list_gpuspec33.csv
openb-pod-4836,3152,5600,1,810,,BE,Failed,11909278,11909448,11909279.0,openb_pod_list_gpuspec33.csv
openb-pod-4837,6000,6144,1,460,,LS,Running,11909435,11910155,11909500.0,openb_pod_list_gpuspec33.csv
openb-pod-4838,11908,47104,1,470,,LS,Pending,11909762,11909871,,openb_pod_list_gpuspec33.csv
openb-pod-4839,11300,49152,1,1000,,LS,Running,11909898,11912203,11909899.0,openb_pod_list_gpuspec33.csv
openb-pod-4840,11300,49152,1,1000,T4,LS,Running,11910028,11910892,11910063.0,openb_pod_list_gpuspec33.csv
openb-pod-4841,11300,49152,1,1000,,LS,Running,11910031,11910987,11910032.0,openb_pod_list_gpuspec33.csv
openb-pod-4842,4000,24576,1,1000,,LS,Succeeded,11910667,11914419,11910667.0,openb_pod_list_gpuspec33.csv
openb-pod-4843,8000,30517,1,470,,BE,Pending,11910672,11910810,,openb_pod_list_gpuspec33.csv
openb-pod-4844,14200,58368,1,1000,,LS,Running,11910750,11910861,11910751.0,openb_pod_list_gpuspec33.csv
openb-pod-4845,15400,51200,0,0,,LS,Running,11911103,11911257,11911138.0,openb_pod_list_gpuspec33.csv
openb-pod-4846,11300,49152,1,1000,T4,LS,Running,11911186,11912439,11911188.0,openb_pod_list_gpuspec33.csv
openb-pod-4847,11300,49152,1,1000,,LS,Running,11911186,11912353,11911188.0,openb_pod_list_gpuspec33.csv
openb-pod-4848,11300,49152,1,1000,,LS,Running,11911261,11911736,11911267.0,openb_pod_list_gpuspec33.csv
openb-pod-4849,11300,49152,1,1000,G2,LS,Running,11912665,11913530,11912699.0,openb_pod_list_gpuspec33.csv
openb-pod-4850,11300,49152,1,1000,,LS,Running,11912758,11913319,11912760.0,openb_pod_list_gpuspec33.csv
openb-pod-4851,11300,49152,1,1000,,LS,Running,11913177,11913564,11913214.0,openb_pod_list_gpuspec33.csv
openb-pod-4852,11908,47104,1,470,,LS,Pending,11913406,11913626,,openb_pod_list_gpuspec33.csv
openb-pod-4853,14200,58368,1,1000,,LS,Running,11913464,11915786,11913499.0,openb_pod_list_gpuspec33.csv
openb-pod-4854,14200,58368,1,1000,T4,LS,Running,11913558,11915187,11913560.0,openb_pod_list_gpuspec33.csv
openb-pod-4855,8000,30517,1,470,,BE,Running,11913583,11913945,11913894.0,openb_pod_list_gpuspec33.csv
openb-pod-4856,8000,30517,1,470,,BE,Running,11913779,11914064,11913954.0,openb_pod_list_gpuspec33.csv
openb-pod-4857,16400,125952,1,1000,G2,LS,Running,11913838,11916902,11913840.0,openb_pod_list_gpuspec33.csv
openb-pod-4858,11300,49152,1,1000,,LS,Running,11914032,11914508,11914138.0,openb_pod_list_gpuspec33.csv
openb-pod-4859,11908,47104,1,470,P100,LS,Running,11914328,11915230,11914365.0,openb_pod_list_gpuspec33.csv
openb-pod-4860,3152,5600,1,810,,BE,Failed,11914356,11915557,11914389.0,openb_pod_list_gpuspec33.csv
openb-pod-4861,11300,49152,1,1000,,LS,Running,11914361,11914508,11914434.0,openb_pod_list_gpuspec33.csv
openb-pod-4862,3152,5600,1,810,,BE,Failed,11914881,11915052,11914881.0,openb_pod_list_gpuspec33.csv
openb-pod-4863,11300,49152,1,1000,G2,LS,Running,11915052,11915910,11915089.0,openb_pod_list_gpuspec33.csv
